Sentence,Rating
"Each challenge tests a skill: Hagrid’s lullaby for Fluffy, Professor Sprout’s Devil’s Snare, Professor Flitwick’s enchanted keys, Professor McGonagall’s giant chess game, and Snape’s potion riddle.",0.996
"Harry faces Professor Quirrell in the final chamber, where Quirrell reveals he has been aiding Voldemort, who lives on the back of Quirrell’s head.",0.996
Mr. Dursley lives at Privet Drive.,0.996
"Hagrid gives Harry a ticket for the Hogwarts Express.

",0.996
The Dursleys live at Privet Drive.,0.996
"During the **Sorting Hat** ceremony, Harry experiences a moment of deep reflection as the Sorting Hat debates whether to place him in Gryffindor or Slytherin.",0.996
"An owl arrives, taps on the window, and delivers a newspaper.",0.995
"After seeing the Weasley family, Harry learns to walk through the barrier to reach the Hogwarts Express.",0.995
Hagrid explains his role at Hogwarts.,0.995
Mrs. Dursley lives at Privet Drive.,0.995
"During the conversation, Hagrid accidentally mentions “Nicolas Flamel,” sparking further curiosity in the trio about what Snape is truly after.

",0.995
The Dursleys visit the reptile house.,0.995
Hagrid gives Harry his coat for the night.,0.995
"Harry suspects that the object Hagrid retrieved from the vault was the target of the break-in, fueling his curiosity about Hogwarts and its secrets.

",0.995
Dumbledore arrives at Privet Drive.,0.995
Harry lives with the Dursleys.,0.995
Harry watches the snake.,0.995
Mr. Dursley directs a drill-making firm.,0.995
"As November arrives, the weather turns cold, and Harry prepares for his first Quidditch match against Slytherin.",0.9940000000000001
Mr. Ollivander explains that this feather matches the one in Voldemort’s wand.,0.9940000000000001
Letters arrive in unusual ways.,0.9940000000000001
"Despite his friends’ concerns, Harry decides to play, hoping to overcome his fears of Snape.",0.9940000000000001
Harry steps on Uncle Vernon while sneaking out.,0.9940000000000001
Mr. Ollivander explains that wands choose their owners.,0.993
"On a nighttime detention in the **Forbidden Forest**, Harry and Draco Malfoy witness a terrifying encounter with a **Centaur** and a mysterious figure.",0.991
"Harry, nervous and hoping to avoid Slytherin, is relieved when the Hat places him in Gryffindor.",0.991
Dudley pushes Harry aside.,0.991
The Dursleys buy Dudley and Piers ice cream.,0.99
More letters arrive through the fireplace.,0.99
Harry’s final month with the Dursleys is lonely but peaceful.,0.988
Hagrid prepares tea and sausages.,0.988
Aunt Petunia orders Harry to cook breakfast.,0.987
"There, he discovers the Mirror of Erised, which shows him his family standing around him.
",0.987
"Harry sees his reflection hide the Stone in his pocket, and suddenly, he feels the real Stone appear there.
",0.986
The house remains unchanged over ten years.,0.986
"As the next Quidditch match approaches, tensions rise because Snape will referee the game.",0.985
Mr. Dursley overhears whispers about “Potter” and “Harry.”,0.983
The Dursleys buy Harry a lemon ice pop.,0.983
"Harry feels intense pain in his scar as the figure moves toward him, but a centaur named Firenze rescues him and explains that drinking unicorn blood can keep someone alive, though it leaves them cursed.
",0.982
Mrs. Dursley spies on neighbors.,0.981
Harry faces Dudley’s gang daily.,0.98
Hagrid retrieves a secret item from a high-security vault.,0.98
Uncle Vernon confiscates the letters.,0.977
"Overcome with curiosity, Harry tries the cloak and decides to visit the Restricted Section of the library to find information on Nicolas Flamel.",0.9690000000000001
The storm intensifies as night falls.,0.9670000000000001
Harry finds wizard coins in Hagrid’s coat and pays the owl.,0.9590000000000001
"When Voldemort realizes Harry has the Stone, he orders Quirrell to seize him.",0.946
Mr. Dursley feels shaken.,0.943
A loud knock wakes Dudley.,0.941
Hagrid confronts the Dursleys about hiding Harry’s heritage.,0.934
"Quirrell attempts to steal the Philosopher's Stone, but Harry bravely defends it, preventing Voldemort's return.

",0.927
"That night, they use Harry’s invisibility cloak to sneak past the obstacles leading to the Stone.",0.9229999999999999
Harry’s hair grew back overnight.,0.9209999999999999
The snake escapes the tank.,0.919
"Eventually, Harry devises a plan to send Norbert to Ron’s brother, Charlie, who works with dragons in Romania.",0.909
Mr. Dursley notices a cat with a map.,0.897
"Later that evening, Malfoy challenges Harry to a “wizard’s duel” at midnight, which he secretly sets up as a trap for Harry.",0.89
Dumbledore confirms Lily and James Potter’s death.,0.883
"In a dramatic confrontation in the final chapters, Harry faces off against **Professor Quirrell**, who is revealed to be working for Lord Voldemort.",0.875
Harry experiences strange things at times.,0.8690000000000001
Uncle Vernon warns Harry about “funny business.”,0.856
The snake expresses boredom at the zoo.,0.7
"Harry remains asleep.

",0.7
The sweater shrank to puppet size.,0.7
"They suspect this absence is a ruse to enable Snape to steal the Stone.
",0.7
Aunt Petunia failed to fit Harry in a small sweater.,0.7
Uncle Vernon decides to ignore the letter.,0.7
"However, his plan is interrupted by a screaming book and a close call with Filch and Snape, prompting him to hide in an unused classroom.",0.7
Aunt Petunia destroys letters in a food processor.,0.7
"Harry holds on to Quirrell until he collapses from the pain of his scar and passes out.
",0.7
The glass of the tank vanishes.,0.7
"Defense Against the Dark Arts is disappointing, as Professor Quirrell is nervous and unremarkable.",0.7
Harry doubts his identity as a wizard.,0.7
Mr. Dursley ignores the cat.,0.7
"Uncle Vernon nails shut the mail slot.
",0.7
"Dudley breaks his video camera, crashes his remote control airplane, and injures Mrs. Figg.",0.7
Harry tries to read the letter.,0.6990000000000001
The zoo director apologizes to the Dursleys.,0.6990000000000001
"During the meal, he notices Professor Snape, whose look causes a painful twinge in Harry’s scar, leading Harry to feel disliked.
",0.6990000000000001
Mr. Dursley fears a connection to the Potters.,0.6990000000000001
Harry spends time outside to avoid Dudley.,0.6990000000000001
Dumbledore announces Voldemort’s defeat.,0.6990000000000001
They rush to warn her and find her trapped in the girls’ bathroom with the troll.,0.6990000000000001
"During the match, Gryffindor performs well, but Harry’s broom suddenly starts behaving erratically, trying to throw him off.",0.6990000000000001
Dudley complains about sharing his room.,0.6990000000000001
Professor McGonagall expresses confusion.,0.6990000000000001
"They urgently try to warn Dumbledore, only to find he has left for London.",0.6990000000000001
Mr. Dursley grows nervous.,0.6990000000000001
But Harry becomes fixated on seeing his family and visits the mirror alone.,0.6990000000000001
Hagrid cries over the Potters’ death.,0.6990000000000001
"After Dumbledore’s warning, Harry tries to avoid the Mirror of Erised, but he’s still troubled by nightmares.",0.6990000000000001
Hagrid explains his own expulsion from Hogwarts.,0.6990000000000001
A giant breaks down the door.,0.6990000000000001
The snake ignores Dudley and Uncle Vernon.,0.6990000000000001
Uncle Vernon insults Dumbledore.,0.6990000000000001
The family drives in random directions.,0.6990000000000001
Uncle Vernon decides to leave Privet Drive.,0.6990000000000001
Uncle Vernon insists Harry will not attend Hogwarts.,0.6990000000000001
"Harry, Ron, and Hermione realize that the Sorcerer’s Stone is only safe as long as Quirrell resists Snape, leading them to fear that the stone’s protection may not last much longer.

",0.6990000000000001
Aunt Petunia grows angry when strangers greet Harry.,0.698
"Harry awakens in the hospital wing, where Dumbledore explains that he arrived just in time to save him and that the Stone has been destroyed.",0.698
Dudley mocks Harry’s school.,0.698
Uncle Vernon orders Harry to his cupboard.,0.698
Mr. Dursley chooses a boring tie.,0.698
The boa constrictor’s escape earns Harry a long punishment.,0.698
"Hermione is more concerned about exams and her study schedules, but when they see Hagrid suspiciously hiding something, they realize it might be a dragon egg.",0.698
"Potions, taught by Professor Snape, is intense and unpleasant.",0.698
Harry tries multiple wands before finding a match with a wand containing a phoenix feather.,0.698
The Dursleys consider leaving Harry behind.,0.698
Dumbledore decides to leave Harry with the Dursleys.,0.698
Harry hopes for another letter.,0.698
"In Madam Malkin’s shop, Harry meets a pale boy who speaks disdainfully of Muggle-borns.",0.698
Uncle Vernon grows furious with Harry.,0.698
Uncle Vernon demands Hagrid to leave.,0.6970000000000001
Aunt Petunia once cut Harry’s hair very short.,0.6970000000000001
"After completing their exams, Harry, Hermione, and Ron realize that Hagrid may have accidentally revealed how to bypass Fluffy, the three-headed dog guarding the Sorcerer’s Stone.",0.6970000000000001
"Prefects lead the students back to their dormitories, but Harry and Ron remember that Hermione, who had been avoiding them, doesn’t know about the troll.",0.6970000000000001
"On September 1, the Dursleys take him to King’s Cross Station, but mock him for needing to find Platform Nine and Three-Quarters.",0.6970000000000001
"While fleeing, they accidentally enter the forbidden third-floor corridor, where they encounter a monstrous three-headed dog guarding a trapdoor.
",0.6970000000000001
Mrs. Dursley dislikes anything strange.,0.6970000000000001
"However, on the night they carry out the plan, they encounter Professor McGonagall catching Malfoy sneaking around to expose them, and she assigns him detention.
",0.6970000000000001
Hagrid turns Dudley’s bottom into a pig’s tail.,0.6970000000000001
Dudley’s gang dislikes Harry.,0.6970000000000001
"Harry, Hermione, Neville, and Malfoy are caught sneaking around by Filch and punished by Professor McGonagall, who deducts 150 points each from Gryffindor, making Harry and his friends outcasts.",0.6970000000000001
"Each student tries on the Sorting Hat, which determines their house: Gryffindor, Hufflepuff, Ravenclaw, or Slytherin.",0.6970000000000001
"Though they successfully hand off Norbert, Harry and Hermione’s joy is short-lived—they realize, too late, that they’ve left the invisibility cloak on the tower.",0.6970000000000001
"Aunt Petunia dyes Dudley’s old clothes gray for Harry.
",0.6970000000000001
"Finally, exhausted from the eventful day, Harry falls asleep, dreaming of strange images involving Professor Quirrell’s turban, Slytherin, and Snape.

",0.6970000000000001
Mr. Dursley dislikes unusual things.,0.696
Mr. Dursley sees people in cloaks.,0.696
"At school, Harry remains isolated.",0.696
"Returning down the stairs, they run into Filch, who is ready to punish them.

",0.695
"Hidden in a tree, he overhears Snape threatening Professor Quirrell about helping him get past Fluffy and the other enchantments guarding the stone.",0.695
Harry lies awake in his cupboard.,0.695
Harry overhears a conversation about “dangerous nonsense.”,0.695
Harry waits for his eleventh birthday.,0.695
The family reaches a distant hotel.,0.695
"Hagrid offers them advice and tells stories, though Harry notices that Hagrid avoids eye contact when discussing Snape and the Gringotts break-in, which happened on Harry’s birthday.",0.695
"Snape singles Harry out with difficult questions, and Harry quickly realizes that Snape dislikes him.
",0.695
Harry plans to intercept the mail.,0.695
Dumbledore uses a device to turn off streetlights.,0.695
Professor McGonagall scolds Dumbledore for the public celebrations.,0.6940000000000001
"Harry also receives a Nimbus Two Thousand broomstick from Professor McGonagall, leading to jealousy from Draco Malfoy and making him even more eager for Quidditch training.",0.6940000000000001
"Firenze’s fellow centaurs, Ronan and Bane, disapprove of his intervention, suggesting that fate should take its course.",0.6940000000000001
"Dudley exaggerates the snake’s aggression.
",0.6940000000000001
"Harry refuses, leading to tension between them.",0.6940000000000001
Harry found himself on the school roof once.,0.6940000000000001
"Afterward, Dumbledore addresses the school with various notices, including the prohibition of entry into the third-floor corridor.",0.6940000000000001
"Harry and Ron encounter Argus Filch, the unpleasant caretaker, and his equally disliked cat, Mrs. Norris.
",0.6940000000000001
"Ron sacrifices himself in the chess game, allowing Harry and Hermione to advance.",0.6940000000000001
"Back in the common room, Hermione scolds them for their recklessness, but Harry realizes the dog must be guarding the mysterious object Hagrid retrieved from Gringotts.

",0.693
Aunt Petunia expresses anger about Lily’s abilities.,0.6920000000000001
"They deduce that the stone is what’s being guarded by the three-headed dog, Fluffy.
",0.6920000000000001
Dumbledore departs Privet Drive.,0.6920000000000001
The Dursleys suspected Harry of climbing.,0.691
"However, Harry is shocked to find not Snape but someone else already waiting there.

",0.691
Hagrid bends Uncle Vernon’s rifle.,0.691
"At the end of the night, Harry discovers his invisibility cloak returned to him with a note: “Just in case.”

",0.69
Dudley throws a tantrum about his gifts.,0.69
"Professor McGonagall and other teachers arrive, and Hermione lies to protect Harry and Ron from punishment, saying she went after the troll alone.",0.69
Strangers often vanish when Harry looks closely.,0.6890000000000001
Uncle Vernon orders Harry and Dudley out.,0.688
"Harry also meets Draco Malfoy, who offers friendship but mocks Ron’s family.",0.685
"However, Quirrell finds himself in unbearable pain whenever he touches Harry, due to a magical protection left by Harry’s mother’s love.",0.684
"Quirrell tries to use the Mirror of Erised to find the Sorcerer’s Stone, but Dumbledore had charmed the mirror so only someone who wanted to find but not use the Stone could retrieve it.",0.684
Dumbledore writes a letter for the Dursleys.,0.6829999999999999
Dudley demands the snake to move.,0.6829999999999999
"When Harry, Ron, and the reluctant Hermione and Neville arrive at the trophy room, they narrowly escape Filch, the caretaker, and Peeves the poltergeist.",0.682
Hagrid regrets losing his temper.,0.682
Harry realizes that Voldemort is seeking the Sorcerer’s Stone to regain full strength.,0.6809999999999999
Hagrid buys Harry a hamburger at Paddington station.,0.6809999999999999
"When asked, Dumbledore humorously claims he sees himself holding a pair of thick woolen socks.",0.68
Harry receives his Hogwarts letter.,0.68
A newscaster mentions unusual owl activity.,0.6779999999999999
"Mr. Dursley arrives home worried.
",0.6779999999999999
"They visit Gringotts bank, where goblins work.",0.6779999999999999
Harry goes to the kitchen.,0.6759999999999999
"Their breakthrough comes when Harry finds Flamel mentioned on a Dumbledore trading card: Nicolas Flamel is the only known maker of the Sorcerer’s Stone, a magical artifact that can turn metal into gold and grant immortality.",0.6759999999999999
Harry wishes for a family to rescue him.,0.674
"Harry and Hagrid shop for school supplies in Diagon Alley.
",0.6709999999999999
Mr. Dursley worries about Harry Potter.,0.6679999999999999
The snake desires to visit Brazil.,0.667
Uncle Vernon snatches the letter.,0.665
Uncle Vernon tears up Harry’s letters.,0.66
The mail arrives with a letter for Harry.,0.66
Professor McGonagall mourns Lily and James Potter.,0.659
"Harry, Ron, and Hermione stumble upon **Fluffy**, a massive three-headed dog guarding a trapdoor in the forbidden corridor.",0.6579999999999999
Uncle Vernon leads the family to a shack on a rock.,0.648
Aunt Petunia takes Dudley to buy his Smeltings uniform.,0.642
Uncle Vernon enters with a rifle.,0.637
Hagrid explains the scar on Harry’s forehead.,0.634
Hagrid expresses surprise at Harry’s lack of knowledge.,0.633
"They learn that the stone is hidden somewhere in Hogwarts, and they must protect it from falling into the hands of dark forces.

",0.626
They’re also assigned a detention in the Forbidden Forest with Hagrid to investigate the mysterious attacks on unicorns.,0.621
"Meanwhile, he and his friends keep searching for information on Nicolas Flamel.",0.605
Harry remembers strangers acting kindly.,0.599
"Over the next week, the baby dragon, a Norwegian Ridgeback named Norbert, hatches, but things quickly get out of hand as Norbert grows larger and more dangerous.
",0.596
Hagrid insists Harry will attend Hogwarts.,0.5579999999999999
"The group splits, and Harry and Malfoy encounter a cloaked figure drinking blood from a dead unicorn.",0.523
"Midnight arrives with a loud knock at the door.

",0.52
"In their first flying lesson, Harry and the other Gryffindors must face off against the Slytherins, including Draco Malfoy, whom Harry has quickly come to despise.",0.515
